result_name,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,log_loss_mean,log_loss_sd,cv_protocol,predictive_features,figure_1_7_role,unmatched_summary_features
optimized_tau_polymorph_nested_cv,0.95,0.111803,0.92,0.178885,0.318056,0.168817,nested stratified group-aware cross-validation,matched tau polymorph features,Figure 1-7 data processed separately; unmatched summaries excluded,excluded from primary classifier
tau_plus_one_fig7_nonleaking_nested_cv,0.95,0.111803,0.92,0.178885,0.318056,0.168817,nested stratified group-aware cross-validation,matched tau polymorph features plus one disease-blind Figure 7 context feature,Figure 7 context only; no disease-specific assignment,disease-specific summary values excluded
