result_name,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,log_loss_mean,log_loss_sd,cv_protocol,predictive_features,figure_1_7_role,unmatched_summary_features
optimized_tau_polymorph_nested_cv,0.95,0.111803,0.92,0.178885,0.318056,0.168817,nested stratified group-aware cross-validation,matched tau polymorph features,Figure 1-7-informed workflow and auxiliary biological feature exploration,excluded from primary classifier
tau_plus_one_fig7_nested_cv,0.95,0.111803,0.92,0.178885,0.184852,0.129308,nested stratified group-aware cross-validation,matched tau polymorph features plus one targeted Figure 7 tau-neuronal module,Targeted Figure 7 sensitivity analysis,full unmatched summary set excluded; one selected auxiliary feature included
tau_plus_one_fig7_nonleaking_nested_cv,0.95,0.111803,0.92,0.178885,0.318056,0.168817,nested stratified group-aware cross-validation,matched tau polymorph features plus one disease-blind Figure 7 context feature,Non-leaking Figure 7 context sensitivity model,disease-specific summary values excluded
